bag_time_ns,bag_time_utc,data
1671607365180989802,2022-12-21T07:22:45.180989802Z,77
1671607365380975474,2022-12-21T07:22:45.380975474Z,77
1671607365581584447,2022-12-21T07:22:45.581584447Z,77
1671607365781668947,2022-12-21T07:22:45.781668947Z,77
1671607365981497831,2022-12-21T07:22:45.981497831Z,77
1671607366180910321,2022-12-21T07:22:46.180910321Z,77
1671607366381034800,2022-12-21T07:22:46.381034800Z,77
1671607366580908963,2022-12-21T07:22:46.580908963Z,77
1671607366781264317,2022-12-21T07:22:46.781264317Z,77
1671607366981701524,2022-12-21T07:22:46.981701524Z,77
1671607367180983971,2022-12-21T07:22:47.180983971Z,77
1671607367381303517,2022-12-21T07:22:47.381303517Z,77
1671607367581774340,2022-12-21T07:22:47.581774340Z,77
1671607367782369552,2022-12-21T07:22:47.782369552Z,77
1671607367981738410,2022-12-21T07:22:47.981738410Z,77
1671607368181457261,2022-12-21T07:22:48.181457261Z,77
1671607368381353497,2022-12-21T07:22:48.381353497Z,77
1671607368581242894,2022-12-21T07:22:48.581242894Z,77
1671607368781612541,2022-12-21T07:22:48.781612541Z,77
1671607368980981602,2022-12-21T07:22:48.980981602Z,77
1671607369181468720,2022-12-21T07:22:49.181468720Z,77
1671607369381089933,2022-12-21T07:22:49.381089933Z,77
1671607369580933674,2022-12-21T07:22:49.580933674Z,77
1671607369781258215,2022-12-21T07:22:49.781258215Z,77
1671607369981752469,2022-12-21T07:22:49.981752469Z,77
1671607370181844693,2022-12-21T07:22:50.181844693Z,77
1671607370380913797,2022-12-21T07:22:50.380913797Z,77
1671607370581601618,2022-12-21T07:22:50.581601618Z,77
1671607370781609870,2022-12-21T07:22:50.781609870Z,77
1671607370981103075,2022-12-21T07:22:50.981103075Z,77
1671607371181683846,2022-12-21T07:22:51.181683846Z,76
1671607371381280242,2022-12-21T07:22:51.381280242Z,76
1671607371581590266,2022-12-21T07:22:51.581590266Z,76
1671607371781284278,2022-12-21T07:22:51.781284278Z,76
1671607371981768721,2022-12-21T07:22:51.981768721Z,76
1671607372180917444,2022-12-21T07:22:52.180917444Z,76
1671607372381331697,2022-12-21T07:22:52.381331697Z,76
1671607372581248549,2022-12-21T07:22:52.581248549Z,77
1671607372781509395,2022-12-21T07:22:52.781509395Z,77
1671607372981300160,2022-12-21T07:22:52.981300160Z,77
1671607373180876404,2022-12-21T07:22:53.180876404Z,77
1671607373381774724,2022-12-21T07:22:53.381774724Z,77
1671607373581216808,2022-12-21T07:22:53.581216808Z,77
1671607373781020473,2022-12-21T07:22:53.781020473Z,77
1671607373981292550,2022-12-21T07:22:53.981292550Z,77
1671607374181346196,2022-12-21T07:22:54.181346196Z,77
1671607374381015450,2022-12-21T07:22:54.381015450Z,77
1671607374581221222,2022-12-21T07:22:54.581221222Z,77
1671607374781202103,2022-12-21T07:22:54.781202103Z,77
1671607374981950196,2022-12-21T07:22:54.981950196Z,77
1671607375181577360,2022-12-21T07:22:55.181577360Z,77
1671607375381538819,2022-12-21T07:22:55.381538819Z,77
1671607375581831448,2022-12-21T07:22:55.581831448Z,77
1671607375781183510,2022-12-21T07:22:55.781183510Z,77
1671607375981038612,2022-12-21T07:22:55.981038612Z,77
1671607376180364379,2022-12-21T07:22:56.180364379Z,77
1671607376380262701,2022-12-21T07:22:56.380262701Z,77
1671607376580575240,2022-12-21T07:22:56.580575240Z,77
1671607376780680965,2022-12-21T07:22:56.780680965Z,77
1671607376980803660,2022-12-21T07:22:56.980803660Z,77
1671607377180072686,2022-12-21T07:22:57.180072686Z,77
1671607377380371758,2022-12-21T07:22:57.380371758Z,77
1671607377580067014,2022-12-21T07:22:57.580067014Z,77
1671607377780149027,2022-12-21T07:22:57.780149027Z,77
1671607377980830870,2022-12-21T07:22:57.980830870Z,77
1671607378180681309,2022-12-21T07:22:58.180681309Z,77
1671607378380185856,2022-12-21T07:22:58.380185856Z,77
1671607378580382951,2022-12-21T07:22:58.580382951Z,77
1671607378780558034,2022-12-21T07:22:58.780558034Z,77
1671607378980977877,2022-12-21T07:22:58.980977877Z,77
1671607379180121057,2022-12-21T07:22:59.180121057Z,77
1671607379380997602,2022-12-21T07:22:59.380997602Z,77
1671607379580569670,2022-12-21T07:22:59.580569670Z,77
1671607379780084919,2022-12-21T07:22:59.780084919Z,77
1671607379980142141,2022-12-21T07:22:59.980142141Z,77
1671607380180367715,2022-12-21T07:23:00.180367715Z,76
1671607380380322669,2022-12-21T07:23:00.380322669Z,75
1671607380580249925,2022-12-21T07:23:00.580249925Z,74
1671607380780457570,2022-12-21T07:23:00.780457570Z,74
1671607380980729559,2022-12-21T07:23:00.980729559Z,74
1671607381180025133,2022-12-21T07:23:01.180025133Z,74
1671607381380277115,2022-12-21T07:23:01.380277115Z,74
1671607381580283000,2022-12-21T07:23:01.580283000Z,75
1671607381780691568,2022-12-21T07:23:01.780691568Z,75
1671607381979846657,2022-12-21T07:23:01.979846657Z,75
1671607382180824211,2022-12-21T07:23:02.180824211Z,74
1671607382379975034,2022-12-21T07:23:02.379975034Z,75
1671607382580858633,2022-12-21T07:23:02.580858633Z,75
1671607382780862857,2022-12-21T07:23:02.780862857Z,75
1671607382980447653,2022-12-21T07:23:02.980447653Z,75
1671607383180226365,2022-12-21T07:23:03.180226365Z,74
1671607383380270711,2022-12-21T07:23:03.380270711Z,75
1671607383580774053,2022-12-21T07:23:03.580774053Z,75
1671607383780445310,2022-12-21T07:23:03.780445310Z,75
1671607383979980530,2022-12-21T07:23:03.979980530Z,75
1671607384180035991,2022-12-21T07:23:04.180035991Z,75
1671607384380417985,2022-12-21T07:23:04.380417985Z,75
1671607384580636660,2022-12-21T07:23:04.580636660Z,75
1671607384780391818,2022-12-21T07:23:04.780391818Z,75
1671607384980115993,2022-12-21T07:23:04.980115993Z,75
1671607385180573713,2022-12-21T07:23:05.180573713Z,75
1671607385380069898,2022-12-21T07:23:05.380069898Z,75
1671607385579956483,2022-12-21T07:23:05.579956483Z,75
1671607385780937792,2022-12-21T07:23:05.780937792Z,75
1671607385980680554,2022-12-21T07:23:05.980680554Z,75
1671607386180620550,2022-12-21T07:23:06.180620550Z,75
1671607386380569051,2022-12-21T07:23:06.380569051Z,75
1671607386580716690,2022-12-21T07:23:06.580716690Z,75
1671607386780141444,2022-12-21T07:23:06.780141444Z,75
1671607386979979302,2022-12-21T07:23:06.979979302Z,75
1671607387180643868,2022-12-21T07:23:07.180643868Z,75
1671607387380170164,2022-12-21T07:23:07.380170164Z,75
1671607387580259515,2022-12-21T07:23:07.580259515Z,75
1671607387780758208,2022-12-21T07:23:07.780758208Z,75
1671607387980619016,2022-12-21T07:23:07.980619016Z,75
1671607388179785656,2022-12-21T07:23:08.179785656Z,75
1671607388380761232,2022-12-21T07:23:08.380761232Z,75
1671607388580058982,2022-12-21T07:23:08.580058982Z,76
1671607388780424616,2022-12-21T07:23:08.780424616Z,76
1671607388980711893,2022-12-21T07:23:08.980711893Z,76
1671607389180282600,2022-12-21T07:23:09.180282600Z,76
1671607389380087910,2022-12-21T07:23:09.380087910Z,76
1671607389580235290,2022-12-21T07:23:09.580235290Z,76
1671607389780815258,2022-12-21T07:23:09.780815258Z,76
1671607389980481086,2022-12-21T07:23:09.980481086Z,75
1671607390180744342,2022-12-21T07:23:10.180744342Z,75
1671607390380154894,2022-12-21T07:23:10.380154894Z,76
1671607390580110192,2022-12-21T07:23:10.580110192Z,75
1671607390780560012,2022-12-21T07:23:10.780560012Z,75
1671607390981076498,2022-12-21T07:23:10.981076498Z,75
1671607391180061177,2022-12-21T07:23:11.180061177Z,75
1671607391380024876,2022-12-21T07:23:11.380024876Z,75
1671607391580097930,2022-12-21T07:23:11.580097930Z,75
1671607391780418968,2022-12-21T07:23:11.780418968Z,75
1671607391980526953,2022-12-21T07:23:11.980526953Z,75
1671607392180757084,2022-12-21T07:23:12.180757084Z,75
1671607392380582844,2022-12-21T07:23:12.380582844Z,75
1671607392580515247,2022-12-21T07:23:12.580515247Z,75
1671607392781247879,2022-12-21T07:23:12.781247879Z,75
1671607392980801497,2022-12-21T07:23:12.980801497Z,75
1671607393180725548,2022-12-21T07:23:13.180725548Z,75
1671607393380741313,2022-12-21T07:23:13.380741313Z,75
1671607393580381656,2022-12-21T07:23:13.580381656Z,75
