index,stamp_ns
0,1671607362199814796
1,1671607362299905062
2,1671607362399994135
3,1671607362499836922
4,1671607362599928141
5,1671607362699897051
6,1671607362799986839
7,1671607362899820089
8,1671607363000028849
9,1671607363099889994
10,1671607363199972153
11,1671607363299809933
12,1671607363399903059
13,1671607363499984980
14,1671607363599813223
15,1671607363699910879
16,1671607363799996853
17,1671607363899831057
18,1671607364000045061
19,1671607364099894047
20,1671607364199993134
21,1671607364299832106
22,1671607364399941921
23,1671607364499782801
24,1671607364599997997
25,1671607364699823141
26,1671607364799908161
27,1671607364899878979
28,1671607365000075102
29,1671607365099926949
30,1671607365199882984
31,1671607365299968958
32,1671607365399818897
33,1671607365499913931
34,1671607365599883080
35,1671607365699968100
36,1671607365799815893
37,1671607365899909973
38,1671607366000000954
39,1671607366099967957
40,1671607366199820042
41,1671607366299896002
42,1671607366399983168
43,1671607366499830008
44,1671607366599923849
45,1671607366699888945
46,1671607366799981117
47,1671607366899802923
48,1671607367000123978
49,1671607367099977016
50,1671607367199803829
51,1671607367299890995
52,1671607367399973154
53,1671607367499814987
54,1671607367599904060
55,1671607367699994087
56,1671607367799823046
57,1671607367899913073
58,1671607368000120163
59,1671607368099972010
60,1671607368199802876
61,1671607368299890995
62,1671607368399974823
63,1671607368499820948
64,1671607368599898815
65,1671607368699990034
66,1671607368799834013
67,1671607368899907112
68,1671607369000110149
69,1671607369099962950
70,1671607369199809074
71,1671607369299891949
72,1671607369399994135
73,1671607369499837875
74,1671607369599925995
75,1671607369699887037
76,1671607369799968004
77,1671607369899814844
78,1671607370000011921
79,1671607370099997044
80,1671607370199855089
81,1671607370299933910
82,1671607370399898052
83,1671607370499983788
84,1671607370599822044
85,1671607370699907064
86,1671607370799877167
87,1671607370899960041
88,1671607371000037193
89,1671607371099908113
90,1671607371199875116
91,1671607371299960136
92,1671607371399797916
93,1671607371499886990
94,1671607371599990129
95,1671607371699826956
96,1671607371799913883
97,1671607371899888039
98,1671607372000093937
99,1671607372099961996
100,1671607372199812174
101,1671607372299899817
102,1671607372399987936
103,1671607372499824047
104,1671607372599901915
105,1671607372699877024
106,1671607372799973011
107,1671607372899820089
108,1671607373000030041
109,1671607373099888086
110,1671607373199985981
111,1671607373299813986
112,1671607373399909019
113,1671607373499882936
114,1671607373599966049
115,1671607373699802876
116,1671607373799887180
117,1671607373899976969
118,1671607374000049829
119,1671607374099908113
120,1671607374199995995
121,1671607374299835920
122,1671607374399924040
123,1671607374499877214
124,1671607374599967957
125,1671607374699809074
126,1671607374799897194
127,1671607374899980068
128,1671607375000061989
129,1671607375099917173
130,1671607375199890852
131,1671607375299984932
132,1671607375399821997
133,1671607375499916077
134,1671607375599887133
135,1671607375699968100
136,1671607375799831152
137,1671607375899918079
138,1671607376000005007
139,1671607376099982023
140,1671607376199802160
141,1671607376299884081
142,1671607376399972200
143,1671607376499813795
144,1671607376599898100
145,1671607376699982166
146,1671607376799823046
147,1671607376899914026
148,1671607377000118017
149,1671607377099971056
150,1671607377199816942
151,1671607377299909115
152,1671607377399988890
153,1671607377499833107
154,1671607377599917173
155,1671607377699875116
156,1671607377799962044
157,1671607377899811983
158,1671607378000003099
159,1671607378099973202
160,1671607378199800014
161,1671607378299881935
162,1671607378399972200
163,1671607378499808073
164,1671607378599895954
165,1671607378699979067
166,1671607378799823046
167,1671607378899908066
168,1671607379000118971
169,1671607379099983215
170,1671607379199823141
171,1671607379299911976
172,1671607379399884939
173,1671607379499952793
174,1671607379599794865
175,1671607379699885130
176,1671607379799984932
177,1671607379899813890
178,1671607380000024080
179,1671607380099876165
180,1671607380199959993
181,1671607380299791813
182,1671607380399889946
183,1671607380499983788
184,1671607380599827051
185,1671607380699913025
186,1671607380799876213
187,1671607380899969101
188,1671607381000041008
189,1671607381099894047
190,1671607381199962139
191,1671607381299795866
192,1671607381399893999
193,1671607381499994040
194,1671607381599829912
195,1671607381699914932
196,1671607381799881935
197,1671607381899976969
198,1671607382000036001
199,1671607382099879026
200,1671607382199973822
201,1671607382299824953
202,1671607382399918079
203,1671607382499875069
