time              lon               lat               alt               heading           pitch             roll              vn                vh                ve                
0.00600013        -122.14016500     47.64146800       123.64560861      -0.07406994       0.00049107        0.00506302        -0.00000067       0.49283854        -0.00000091       
0.25800550        -122.14016500     47.64146800       123.64651850      -0.02621855       -0.02492717       0.01595314        -0.00665410       0.20191115        -0.00456407       
0.29700634        -122.14016500     47.64146800       123.65965711      -0.02384762       -0.02713982       0.01349275        -0.00735606       0.20799520        -0.00480583       
0.32100685        -122.14016501     47.64146799       123.66470032      -0.02349520       -0.02919893       0.01261125        -0.00785277       0.21226344        -0.00411229       
0.32700698        -122.14016501     47.64146799       123.66597768      -0.02352995       -0.02954396       0.01310221        -0.00783624       0.21351315        -0.00416211       
0.33300710        -122.14016501     47.64146799       123.66726172      -0.02393169       -0.02936465       0.01278861        -0.00755658       0.21449057        -0.00425066       
0.58501248        -122.14016501     47.64146799       123.67191420      -0.03254465       -0.02713199       0.02267861        -0.00121966       0.14769027        -0.00488123       
0.59101261        -122.14016501     47.64146799       123.67309544      -0.03327488       -0.02698921       0.02319257        -0.00126091       0.14858426        -0.00509345       
0.60001280        -122.14016501     47.64146799       123.67443833      -0.03360363       -0.02735004       0.02385745        -0.00134577       0.14982794        -0.00539772       
0.60601293        -122.14016501     47.64146799       123.67533911      -0.03353574       -0.02702181       0.02414209        -0.00113212       0.15042709        -0.00563687       
0.61201306        -122.14016501     47.64146799       123.67624351      -0.03375944       -0.02689629       0.02386118        -0.00089793       0.15103166        -0.00576907       
0.61801318        -122.14016501     47.64146799       123.67715164      -0.03355761       -0.02729861       0.02334932        -0.00111083       0.15167373        -0.00570186       
0.85801830        -122.14016501     47.64146799       123.67919302      -0.02769202       -0.05880942       0.03705641        -0.00811938       0.12781999        -0.00455988       
0.86401843        -122.14016501     47.64146799       123.68010008      -0.02773570       -0.05827128       0.03663579        -0.00786030       0.12806090        -0.00449832       
0.87001856        -122.14016501     47.64146799       123.68086850      -0.02760802       -0.05801122       0.03638410        -0.00752793       0.12807265        -0.00422880       
0.88501888        -122.14016501     47.64146799       123.68279120      -0.02850144       -0.05939063       0.03787734        -0.00754080       0.12828144        -0.00382419       
0.89101901        -122.14016501     47.64146799       123.68356171      -0.02829169       -0.06034572       0.03901462        -0.00779033       0.12854812        -0.00397357       
0.89701914        -122.14016501     47.64146799       123.68433385      -0.02797242       -0.06070112       0.03818293        -0.00798306       0.12882840        -0.00392161       
