time           x0             x1             x2             x3             x4             x5             x6             x7             x8             x9             x10            x11            x12            x13            x14            
0.0094         0.0000         -0.0000        0.0014         0.0001         0.2027         -0.0004        -1.5309        0.0000         0.0000         0.0000         0.0000         0.0000         -0.0000        0.0000         -0.0000        
0.1065         -0.0000        -0.0000        0.0032         0.0002         0.0337         -0.0001        -0.0034        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
0.2024         -0.0000        0.0000         0.0064         -0.0002        0.0344         0.0004         -0.0011        0.0000         0.0000         -0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         
0.3050         -0.0000        -0.0000        0.0050         -0.0004        0.0191         -0.0002        -0.0006        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
0.4017         -0.0000        -0.0000        -0.0017        -0.0005        -0.0075        -0.0002        -0.0003        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
0.5041         -0.0000        -0.0000        -0.0028        -0.0005        -0.0085        -0.0003        -0.0002        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
0.6018         -0.0000        -0.0000        -0.0030        -0.0001        -0.0074        -0.0003        -0.0002        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
0.7060         -0.0000        -0.0000        -0.0030        -0.0002        -0.0061        -0.0001        -0.0001        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        
0.8017         -0.0000        -0.0000        -0.0030        -0.0003        -0.0053        -0.0001        -0.0001        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        
0.9085         -0.0000        -0.0000        -0.0031        -0.0002        -0.0047        -0.0001        -0.0001        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        
1.0028         -0.0000        -0.0000        -0.0030        -0.0002        -0.0040        -0.0002        -0.0001        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        
1.1027         -0.0000        -0.0000        -0.0028        -0.0001        -0.0034        -0.0000        -0.0001        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        
1.2066         -0.0000        -0.0000        -0.0028        -0.0002        -0.0030        0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        0.0000         -0.0000        
1.3046         -0.0000        -0.0000        -0.0027        -0.0002        -0.0027        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         -0.0000        
1.4056         -0.0000        0.0000         -0.0027        -0.0001        -0.0025        0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         0.0000         
1.5028         -0.0000        -0.0000        -0.0027        -0.0001        -0.0024        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         0.0000         
1.6025         -0.0000        -0.0000        -0.0026        -0.0002        -0.0021        -0.0001        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
1.7082         -0.0000        -0.0000        -0.0025        -0.0001        -0.0019        -0.0001        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
1.8065         -0.0000        -0.0000        -0.0024        -0.0000        -0.0017        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
1.9030         -0.0000        -0.0000        -0.0023        -0.0001        -0.0016        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
2.0015         -0.0000        -0.0000        -0.0022        -0.0000        -0.0014        0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         0.0000         
2.1057         -0.0000        -0.0000        -0.0021        -0.0001        -0.0013        -0.0001        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
2.2056         -0.0000        -0.0000        -0.0020        -0.0000        -0.0012        -0.0001        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         0.0000         
2.3080         -0.0000        -0.0000        -0.0020        0.0000         -0.0011        -0.0001        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
2.4023         0.0000         -0.0000        -0.0019        0.0000         -0.0010        -0.0001        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
2.5026         0.0000         -0.0000        -0.0018        0.0001         -0.0009        -0.0002        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
2.6060         0.0000         -0.0000        -0.0018        0.0002         -0.0008        -0.0002        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
2.7057         0.0000         -0.0000        -0.0017        0.0001         -0.0007        -0.0002        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
2.8045         0.0000         -0.0000        -0.0016        0.0001         -0.0007        -0.0001        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
2.9063         0.0000         -0.0000        -0.0016        0.0001         -0.0007        -0.0001        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
3.0017         0.0000         -0.0000        -0.0016        0.0000         -0.0007        -0.0001        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
3.1035         0.0000         -0.0000        -0.0015        0.0000         -0.0006        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
3.2080         0.0000         -0.0000        -0.0015        0.0000         -0.0006        0.0000         -0.0000        -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         0.0000         -0.0000        
3.3028         0.0000         0.0000         -0.0014        0.0000         -0.0005        0.0001         -0.0000        -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         0.0000         -0.0000        
3.4042         -0.0000        0.0000         -0.0013        -0.0000        -0.0004        0.0001         -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         0.0000         
3.5059         -0.0000        0.0000         -0.0012        -0.0000        -0.0004        0.0001         -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         0.0000         
3.6085         -0.0000        -0.0000        -0.0012        -0.0000        -0.0004        0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         0.0000         
3.7089         0.0000         -0.0000        -0.0012        0.0000         -0.0004        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        0.0000         -0.0000        
3.8079         -0.0000        0.0000         -0.0012        -0.0001        -0.0004        0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         0.0000         
3.9043         -0.0000        -0.0000        -0.0012        -0.0001        -0.0004        0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         0.0000         0.0000         
4.0072         -0.0000        0.0000         -0.0012        -0.0000        -0.0004        0.0000         0.0000         0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         -0.0000        0.0000         
4.1054         -0.0000        0.0000         -0.0013        -0.0001        -0.0004        0.0000         0.0000         0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         -0.0000        0.0000         
4.2081         -0.0000        0.0000         -0.0012        -0.0001        -0.0004        0.0001         0.0000         0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         -0.0000        0.0000         
4.3015         -0.0000        0.0000         -0.0012        -0.0002        -0.0004        0.0000         0.0000         0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         -0.0000        0.0000         
4.4024         -0.0000        0.0000         -0.0012        -0.0001        -0.0004        0.0000         0.0000         0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         -0.0000        0.0000         
4.5029         -0.0000        -0.0000        -0.0012        -0.0002        -0.0004        -0.0000        0.0000         0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         
4.6055         -0.0000        -0.0000        -0.0012        -0.0002        -0.0004        -0.0000        0.0000         0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         
4.7031         -0.0000        -0.0000        -0.0012        -0.0002        -0.0004        -0.0000        0.0000         0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         
4.8079         -0.0000        -0.0000        -0.0010        -0.0002        -0.0003        -0.0001        0.0000         0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         
4.9073         -0.0000        -0.0000        -0.0010        -0.0002        -0.0003        -0.0000        0.0000         0.0000         0.0000         -0.0000        -0.0000        0.0000         0.0000         -0.0000        0.0000         
5.0066         -0.0000        -0.0000        -0.0010        -0.0001        -0.0003        -0.0000        0.0000         0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         
5.1087         -0.0000        -0.0000        -0.0010        -0.0001        -0.0003        -0.0001        0.0000         0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         
5.2058         -0.0000        -0.0000        -0.0011        -0.0001        -0.0003        -0.0000        0.0000         0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        0.0000         
5.3060         0.0000         -0.0000        -0.0011        0.0000         -0.0003        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
5.4081         0.0000         -0.0000        -0.0011        0.0001         -0.0003        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
5.5021         0.0000         0.0000         -0.0011        0.0000         -0.0003        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
5.6061         0.0000         0.0000         -0.0010        0.0001         -0.0003        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
5.7045         0.0000         0.0000         -0.0012        0.0001         -0.0003        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
5.8073         0.0000         0.0000         -0.0012        0.0001         -0.0004        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
5.9047         0.0000         -0.0000        -0.0011        0.0001         -0.0003        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.0081         0.0000         -0.0000        -0.0010        0.0001         -0.0003        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.1086         0.0000         0.0000         -0.0009        0.0001         -0.0002        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
6.2027         0.0000         -0.0000        -0.0009        0.0001         -0.0002        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.3053         0.0000         -0.0000        -0.0009        0.0002         -0.0002        -0.0001        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.4061         0.0000         -0.0000        -0.0009        0.0002         -0.0002        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.5016         0.0000         -0.0000        -0.0009        0.0001         -0.0002        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.6044         0.0000         -0.0000        -0.0010        0.0002         -0.0002        -0.0001        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.7040         0.0000         -0.0000        -0.0010        0.0002         -0.0003        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.8036         0.0000         -0.0000        -0.0009        0.0002         -0.0002        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
6.9063         0.0000         0.0000         -0.0008        0.0002         -0.0002        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
7.0058         0.0000         0.0000         -0.0007        0.0002         -0.0001        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
7.1085         0.0000         -0.0000        -0.0007        0.0002         -0.0002        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
7.2026         0.0000         -0.0000        -0.0008        0.0002         -0.0002        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
7.3025         0.0000         -0.0000        -0.0007        0.0002         -0.0002        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
7.4059         0.0000         -0.0000        -0.0007        0.0002         -0.0002        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
7.5083         0.0000         0.0000         -0.0007        0.0001         -0.0002        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
7.6032         0.0000         0.0000         -0.0006        0.0002         -0.0001        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        0.0000         0.0000         -0.0000        -0.0000        
7.7085         0.0000         -0.0000        -0.0007        0.0002         -0.0002        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
7.8075         0.0000         -0.0000        -0.0007        0.0002         -0.0002        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
7.9096         0.0000         -0.0000        -0.0006        0.0002         -0.0001        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
8.0074         0.0000         -0.0000        -0.0006        0.0002         -0.0001        -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        -0.0000        -0.0000        -0.0000        
