time           lon            lat            alt            heading        pitch          roll           vn             vh             ve             
0.00943100     -122.14016513  47.64146792    117.30503836   4.57223550     -0.00235938    0.00067796     0.00000475     -0.20278465    -0.00000072    
0.01157400     -122.14016513  47.64146792    117.30482084   4.57215076     -0.00250909    0.00089532     -0.00009989    -0.20291074    -0.00010685    
0.01680600     -122.14016513  47.64146792    117.30375862   4.57171489     -0.00273478    0.00153927     -0.00040704    -0.20313847    -0.00026771    
0.02441700     -122.14016513  47.64146792    117.30221226   4.57105761     -0.00319099    0.00232680     -0.00044101    -0.20320817    -0.00067568    
0.02642000     -122.14016513  47.64146792    117.30180516   4.57092226     -0.00333269    0.00239270     -0.00047104    -0.20328635    -0.00072729    
0.03124300     -122.14016513  47.64146792    117.30082396   4.57129875     -0.00349626    0.00239677     -0.00058211    -0.20359592    -0.00065152    
0.03777000     -122.14016513  47.64146792    117.29949425   4.57162330     -0.00310156    0.00254166     -0.00063468    -0.20385380    -0.00064389    
0.04181600     -122.14016513  47.64146792    117.29866907   4.57125066     -0.00310564    0.00280294     -0.00071641    -0.20404502    -0.00065086    
0.04771800     -122.14016513  47.64146792    117.29746407   4.57078396     -0.00259026    0.00355365     -0.00065434    -0.20429137    -0.00064614    
0.05180800     -122.14016513  47.64146792    117.29662861   4.57105616     -0.00247688    0.00388251     -0.00045374    -0.20424535    -0.00070924    
0.05853100     -122.14016513  47.64146792    117.29525634   4.57136249     -0.00225071    0.00288339     -0.00033281    -0.20398835    -0.00081821    
0.06282900     -122.14016513  47.64146792    117.29438357   4.57106966     -0.00228668    0.00217706     -0.00029833    -0.20213771    -0.00072613    
0.06641100     -122.14016513  47.64146792    117.29366599   4.57059178     -0.00261444    0.00215545     -0.00041444    -0.19852097    -0.00059012    
0.07347300     -122.14016513  47.64146792    117.29230083   4.56970621     -0.00258163    0.00184533     -0.00029940    -0.18810104    -0.00046793    
0.07798100     -122.14016513  47.64146792    117.29147032   4.56937336     -0.00240114    0.00191779     -0.00002505    -0.18036058    -0.00035871    
0.08304900     -122.14016513  47.64146792    117.29057812   4.56904968     -0.00272088    0.00273063     0.00005716     -0.17173052    -0.00026017    
0.08857800     -122.14016513  47.64146792    117.28965474   4.56909709     -0.00301815    0.00324295     0.00033144     -0.16228195    -0.00036593    
0.09296900     -122.14016513  47.64146792    117.28895832   4.56958430     -0.00265379    0.00283933     0.00059061     -0.15491936    -0.00055893    
0.09807700     -122.14016513  47.64146792    117.28818663   4.56986810     -0.00211720    0.00242513     0.00052644     -0.14723212    -0.00061113    
0.10215800     -122.14016513  47.64146792    117.28759707   4.56972261     -0.00214887    0.00239682     0.00038552     -0.14169893    -0.00044705    
0.10654900     -122.14016513  47.64146792    117.28382169   4.76566092     -0.00241327    0.00243156     0.00017773     -0.16966744    -0.00014259    
0.11215900     -122.14016513  47.64146792    117.28298439   4.76584941     -0.00226703    0.00250343     -0.00011666    -0.16256445    -0.00006552    
0.11823800     -122.14016513  47.64146792    117.28201794   4.76583918     -0.00212868    0.00238268     -0.00031094    -0.15540103    -0.00006604    
0.12224100     -122.14016513  47.64146792    117.28140445   4.76621212     -0.00225278    0.00208182     -0.00018209    -0.15111559    -0.00001220    
0.12624200     -122.14016513  47.64146792    117.28080808   4.76636719     -0.00211936    0.00200212     -0.00006858    -0.14699017    0.00001775     
0.13176100     -122.14016513  47.64146792    117.28001170   4.76619319     -0.00253964    0.00197082     -0.00007087    -0.14160800    0.00030901     
0.13726600     -122.14016513  47.64146792    117.27924487   4.76630932     -0.00283655    0.00185873     -0.00014574    -0.13698629    0.00055266     
0.14360800     -122.14016513  47.64146792    117.27839161   4.76662404     -0.00239621    0.00197965     0.00005351     -0.13209626    0.00055357     
0.14768100     -122.14016513  47.64146792    117.27785980   4.76681137     -0.00250371    0.00233147     0.00020031     -0.12904129    0.00063287     
0.15300300     -122.14016513  47.64146792    117.27718304   4.76679150     -0.00309914    0.00319804     0.00005999     -0.12528279    0.00045692     
0.15656400     -122.14016513  47.64146792    117.27674141   4.76659695     -0.00317581    0.00323888     -0.00000532    -0.12275814    0.00037073     
0.16168100     -122.14016513  47.64146792    117.27612200   4.76645510     -0.00291026    0.00326880     0.00005978     -0.11933806    0.00043635     
0.16826200     -122.14016513  47.64146792    117.27534856   4.76661256     -0.00302780    0.00337415     -0.00013154    -0.11571426    0.00049365     
0.17327400     -122.14016513  47.64146792    117.27477480   4.76696561     -0.00233338    0.00289644     -0.00012719    -0.11324105    0.00060717     
0.17841500     -122.14016513  47.64146792    117.27419954   4.76719836     -0.00213549    0.00211572     -0.00004949    -0.11055188    0.00081356     
0.18152200     -122.14016513  47.64146792    117.27385861   4.76729127     -0.00226698    0.00249241     -0.00013813    -0.10890659    0.00080732     
0.18660900     -122.14016513  47.64146792    117.27331040   4.76741081     -0.00227101    0.00219687     -0.00026777    -0.10662938    0.00076852     
0.19379000     -122.14016513  47.64146792    117.27255538   4.76763593     -0.00186034    0.00180588     -0.00040940    -0.10365238    0.00085923     
0.19683900     -122.14016513  47.64146792    117.27224143   4.76768705     -0.00178571    0.00177852     -0.00046571    -0.10228407    0.00088708     
0.20240600     -122.14016513  47.64146792    117.26523191   4.83235434     -0.00124490    0.00141124     -0.00033018    -0.13448440    0.00069727     
0.20640600     -122.14016513  47.64146792    117.26476561   4.83252137     -0.00144698    0.00158121     -0.00035172    -0.13310022    0.00063174     
0.21253400     -122.14016513  47.64146792    117.26395611   4.83296782     -0.00207938    0.00119794     -0.00056073    -0.13109645    0.00049518     
0.21880700     -122.14016513  47.64146792    117.26313999   4.83306538     -0.00237907    0.00085546     -0.00079397    -0.12910283    0.00058736     
0.22282800     -122.14016513  47.64146792    117.26262350   4.83290504     -0.00265399    0.00056195     -0.00090333    -0.12779642    0.00070595     
0.22748800     -122.14016513  47.64146792    117.26203139   4.83227496     -0.00326224    0.00091996     -0.00097911    -0.12632547    0.00068225     
0.23156500     -122.14016513  47.64146792    117.26151897   4.83162578     -0.00375372    0.00107039     -0.00104828    -0.12504872    0.00051110     
0.23711300     -122.14016513  47.64146792    117.26082968   4.83168312     -0.00376298    0.00065551     -0.00109378    -0.12343477    0.00052158     
0.24172600     -122.14016513  47.64146792    117.26026336   4.83203528     -0.00397337    0.00105156     -0.00118132    -0.12209642    0.00046233     
0.24659800     -122.14016513  47.64146792    117.25967146   4.83224969     -0.00382981    0.00170769     -0.00135920    -0.12088183    0.00018412     
0.25171000     -122.14016513  47.64146792    117.25905629   4.83255768     -0.00300864    0.00192433     -0.00137440    -0.11979476    0.00001630     
